,title,link,channel,views,time_published,snippet,verified_badge,extensions
83,Think Twice Before Wearing Black Clothes - Sadhguru,https://www.youtube.com/watch?v=qHlON2xarg4,"{'channel_name': 'Sadhguru', 'channel_link': 'https://www.youtube.com/c/sadhguru'}",3.7M views,1 year ago,"Fashionistas love black, but black comes with its pitfalls. Sadhguru speaks about the significance and dangers of wearing black, ...",True,CC
84,Biden mocked for wearing Covid mask during VIRTUAL climate change summit,https://www.youtube.com/watch?v=ALknz15oqHI,"{'channel_name': 'The Sun', 'channel_link': 'https://www.youtube.com/c/thesun'}",311K views,1 year ago,JOE Biden has been mocked for wearing a Covid mask during a virtual climate change summit with Vladimir Putin and other world ...,True,
85,Nick Cannon Reveals Who the Real Marshmello Is 😱 Wild 'N Out | #Wildstyle,https://www.youtube.com/watch?v=C6fJ4xV8Dzc,"{'channel_name': ""Wild 'N Out"", 'channel_link': 'https://www.youtube.com/c/WildNOut'}",8.5M views,2 years ago,"Nick Cannon wasn't about lose this Wildstyle to Marshmello, so Justina Valentine picked up the jabs roasting Marshmello like this ...",True,CC
86,Florida Governor Ron DeSantis' Mask Fail,https://www.youtube.com/watch?v=v2x1nDsGdKY,"{'channel_name': 'The Late Show with Stephen Colbert', 'channel_link': 'https://www.youtube.com/c/ColbertLateShow'}",317K views,2 years ago,"Florida Governor Ron DeSantis invents a cool, new way of wearing a mask to protect yourself from Covid-19. #TOTN #TooningOut ...",True,
87,22 THINGS GIRLS DON'T KNOW ABOUT THEIR PERIODS,https://www.youtube.com/watch?v=E9lfgNH_3QQ,"{'channel_name': '5-Minute Crafts LIKE', 'channel_link': 'https://www.youtube.com/c/5MinuteCraftsLIKE'}",8.3M views,1 year ago,,True,
88,How to double mask - Dos and Don'ts,https://www.youtube.com/watch?v=UQnzjxIaFbU,"{'channel_name': 'IndianExpressOnline', 'channel_link': 'https://www.youtube.com/c/indianexpress'}",132K views,1 year ago,Studies by the US Centers for Disease Control found that wearing a double mask - cloth and surgical or disposable - reduces ...,True,
89,Why Spider-Man: No Way Home Ditched Green Goblin’s Original Mask - IGN Now,https://www.youtube.com/watch?v=ftN75U3ds3U,"{'channel_name': 'IGN', 'channel_link': 'https://www.youtube.com/c/IGN'}",101K views,4 months ago,"Actor Willem Dafoe thinks that all the criticism, the shade, the outright hatred lobbed at the Green Goblin's original mask is what ...",True,
90,Disturbing audio recording made inside an elementary school classroom in West Virginia,https://www.youtube.com/watch?v=-ci-R42cRtQ,"{'channel_name': 'ABC 7 News - WJLA', 'channel_link': 'https://www.youtube.com/user/ABC7DC'}",4.8M views,3 years ago,A hidden recording device in a special education classroom is raising alarming questions about what went on inside a classroom ...,True,
91,SpongeBob NoPants! 👖 | Every Time SpongeBob WASN'T Wearing Pants,https://www.youtube.com/watch?v=cmRb215fLOQ,"{'channel_name': 'SpongeBob SquarePants Official', 'channel_link': 'https://www.youtube.com/c/SpongeBobOfficial'}",7.9M views,1 year ago,"When you have the last name ""SquarePants"" not wearing pants just hits different! After all he's not named SpongeBob NoPants.",True,CC
92,"THE DON'TS OF TRAVELING  S1 E126
5 Things American Tourists Shouldn't Wear in Europe",https://www.youtube.com/watch?v=GWdkyAEjmq0,"{'channel_name': 'Wolters World', 'channel_link': 'https://www.youtube.com/c/woltersworld'}",3.9M views,4 years ago,Please Note: Young People Wear Many of These Styles Throughout Europe. These tips are geared toward 35+ year old travelers.,True,CC
93,POLICE OFFICERS MISTAKE ME FOR A JUNKIE AND TRIES TO ARREST ME WHEN ALL I DID IS CATCH SOME ANTS!!!,https://www.youtube.com/watch?v=i_0lD8l_crs,"{'channel_name': 'Krown Tales', 'channel_link': 'https://www.youtube.com/c/KrownTales'}",8.3K views,1 day ago,,,New
94,"🎵 ""Angry Alex"" Original VS. Something Isn't Right (Minecraft Animation Music Video)",https://www.youtube.com/watch?v=P2K42G5gcX0,"{'channel_name': 'ZAMination 2', 'channel_link': 'https://www.youtube.com/channel/UCyC3GfXxMiVd2BvwECJUGmg'}",8.5M views,9 months ago,Which version is better? (I like SIR) -- 🖱️ Links -- Support us on PATREON: https://www.patreon.com/zamination Join our ...,True,
95,"Watch why this doctor is telling you to NOT wear masks, gloves | Coronavirus",https://www.youtube.com/watch?v=uc4aLsYbHgA,"{'channel_name': 'Hindustan Times', 'channel_link': 'https://www.youtube.com/c/htdotcom'}",97K views,2 years ago,People with masks have become a ubiquitous sight due to Covid-19 pandemic. Users believe that the mask will protect their ...,True,
96,Wearing Outfits From SHEIN For A Full Week!!,https://www.youtube.com/watch?v=d1oHZuF1k2I,"{'channel_name': 'James Charles', 'channel_link': 'https://www.youtube.com/c/JamesCharles'}",2M views,4 months ago,,True,
97,Â̷̮̅̃d̶͖͊̔̔̃̈́̊̈́͗̕u̷̧͕̱̹͍̫̖̼̫̒̕͜l̴̦̽̾̃̌̋͋ṱ̵̩̦͎͐͝ S̷̩̝̜̓w̶̨̛͚͕͈̣̺̦̭̝̍̓̄̒̒́͘͜͠ȉ̷m: Special Broadcast,https://www.youtube.com/watch?v=YCKO1qgotHY,"{'channel_name': 'Adult Swim', 'channel_link': 'https://www.youtube.com/adultswim1'}",4.2M views,1 month ago,,True,CC
98,Donning and Doffing Facial Protection – Mask alone,https://www.youtube.com/watch?v=OABvzu9e-hw,"{'channel_name': 'mnhealth', 'channel_link': 'https://www.youtube.com/c/mnhealth'}",1.3M views,4 years ago,This video demonstrates how to don and doff a mask in the clinical area. The video demonstrates the color side of the blue mask ...,,
99,20 WEIRDEST NBA MOMENTS OF ALL TIME..,https://www.youtube.com/watch?v=QSW2uW9eFn4,"{'channel_name': 'REBOUND', 'channel_link': 'https://www.youtube.com/c/ReboundCentral'}",9.1M views,8 months ago,,True,
100,Omicron and Your Mask: Cloth and Surgical Masks Explained,https://www.youtube.com/watch?v=dZlIcqlRQx0,"{'channel_name': 'NBC Bay Area', 'channel_link': 'https://www.youtube.com/c/NBCBayArea'}",15K views,4 months ago,"As omicron continues to spread, counties across the region are once again mandating masks to be worn in indoor public spaces.",True,CC
101,UK Government U-turns on face mask advice by making them mandatory,https://www.youtube.com/watch?v=HHGtyH0SYsc,"{'channel_name': 'The Telegraph', 'channel_link': 'https://www.youtube.com/c/telegraph'}",113K views,1 year ago,"Up until June 4, the government ministers and their advisers considered the evidence for the use of face masks by the general ...",True,
102,28 Times Someone on SpongeBob Lost Their Skin! 💀😱 | SpongeBob SquarePants,https://www.youtube.com/watch?v=9wWEI634svI,"{'channel_name': 'SpongeBob SquarePants Official', 'channel_link': 'https://www.youtube.com/c/SpongeBobOfficial'}",2M views,7 months ago,Ever wonder what SpongeBob's skeleton looks like? What about Patrick's muscles and nerves? And WHAT is sitting inside ...,True,CC
103,Mask-Up The Right Way: Double Masking | FYI,https://www.youtube.com/watch?v=CDmWjyvOmWA,"{'channel_name': 'NDTV', 'channel_link': 'https://www.youtube.com/c/NDTV'}",195K views,1 year ago,Experts say wearing one mask is not enough amid the rapid second wave of infections. But what is the right way to wear two ...,True,
104,COVID-19: When should masks be worn?,https://www.youtube.com/watch?v=-EywTQ6P0WA,"{'channel_name': 'Johns Hopkins Medicine', 'channel_link': 'https://www.youtube.com/c/HopkinsmedicineOrg'}",11K views,1 year ago,Infectious disease expert Lisa Maragakis explains the importance of wearing a face mask to help prevent #COVID19. For more ...,,
105,"How to Treat Bouncers, According to Bouncers",https://www.youtube.com/watch?v=EKo8qwtUwCc,"{'channel_name': 'VICE', 'channel_link': 'https://www.youtube.com/c/VICE'}",1.3M views,2 years ago,"Bouncers see... a lot. We spoke to some of New York City's finest bouncers to find out the do's, the don'ts, and the fastest ways to ...",True,
106,Woman Glues Her Teeth Back In Place To Avoid The Dentist | The Truth About Your Teeth | Tonic,https://www.youtube.com/watch?v=tKGm6tiEJwA,"{'channel_name': 'Tonic', 'channel_link': 'https://www.youtube.com/BodyTalk'}",4.3M views,1 year ago,,,
107,How to Wear a KF94 Mask,https://www.youtube.com/watch?v=gqi08wEQBPk,"{'channel_name': 'RafflesHospital', 'channel_link': 'https://www.youtube.com/user/RafflesHospital'}",153K views,2 years ago,Are you wearing your KF94 mask correctly? Watch this video to learn the Dos and Don'ts and avoid common mistakes. Wear and ...,,
108,See Which Hotels Were Caught Not Changing Bedsheets for New Guests,https://www.youtube.com/watch?v=HdbRx-Oz9mg,"{'channel_name': 'Inside Edition', 'channel_link': 'https://www.youtube.com/c/InsideEdition'}",21M views,5 years ago,,True,
109,Masked Wolf - Astronaut In The Ocean (Lyrics),https://www.youtube.com/watch?v=Ju9xgdp89Jk,"{'channel_name': '7clouds', 'channel_link': 'https://www.youtube.com/c/7clouds'}",2M views,11 months ago,......... Lyrics: Masked Wolf - Astronaut In The Ocean [Intro] Astro-naut [Chorus] What you know about rollin' down in the deep?,True,
110,"VLOG: WE HIRED A NANNY 😅 NEW NAILS, CAMERA + FRAGRANCES • CONTENT DAY & MORE!",https://www.youtube.com/watch?v=l74c0Sx_vtY,"{'channel_name': 'Debbie Crown', 'channel_link': 'https://www.youtube.com/c/DebbieCrownx'}",9.5K views,1 day ago,If you enjoy this #weekendvlog video make sure you give it a big thumbs up and subscribe to my channel if you haven't already!,,New
111,Woman goes on tirade after asked to wear face mask at Trader Joe's in North Hollywood,https://www.youtube.com/watch?v=92ZRCl0uF1I,"{'channel_name': 'ABC7', 'channel_link': 'https://www.youtube.com/c/ABC7'}",559K views,1 year ago,,True,CC
112,Unmasking the Truth About Wearing Masks,https://www.youtube.com/watch?v=EAMgcJivT0Y,"{'channel_name': 'University of Utah', 'channel_link': 'https://www.youtube.com/c/universityofutah'}",7.5K views,1 year ago,1:15 Do I still need to wear a mask? - [Narrator] You can be infected with COVID-19 and feel perfectly fine. So can others around you.,True,CC
113,"Yorme, You're wrong! How to wear a mask tutorial (BLUE outside)",https://www.youtube.com/watch?v=kHYk8oHVek8,"{'channel_name': 'PinoyNitro Trending', 'channel_link': 'https://www.youtube.com/c/PinoyNitroTrending'}",7.4K views,2 years ago,"Hello Kabayan and the world! We are PinoyNitro Trending! Due to the Wuhan Virus Outbreak, and as we have jobs under the ...",,
114,How to Properly Put on a Cannula Tutorial Mountain High Aviation Oxygen,https://www.youtube.com/watch?v=1d1Hj7uuQ0Y,"{'channel_name': 'Mountain High Oxygen', 'channel_link': 'https://www.youtube.com/c/Mhoxygen'}",125K views,8 years ago,,,
115,WRONG TURN Trailer (2021),https://www.youtube.com/watch?v=eEckwlk1RzY,"{'channel_name': 'KinoCheck.com', 'channel_link': 'https://www.youtube.com/user/Filme'}",303K views,1 year ago,"Wrong Turn (2021) is the new horror movie starring Charlotte Vega, Matthew Modine and Emma Dumont. Note | #WrongTurn ...",True,
116,How did face masks go from 'useless' to indispensable? | AFP,https://www.youtube.com/watch?v=4SBHGz77Zjs,"{'channel_name': 'AFP News Agency', 'channel_link': 'https://www.youtube.com/c/AFPnewsagency'}",9K views,1 year ago,,True,
117,Kourtney Kardashian & Travis Barker Get Ready for the Met Gala | Vogue,https://www.youtube.com/watch?v=IcxK7RUz9Qs,"{'channel_name': 'Vogue', 'channel_link': 'https://www.youtube.com/c/Vogue'}",1.7M views,12 days ago,Watch as Kourtney Kardashian and Travis Barker get ready for their first Met together. Wearing a couple's look designed by Thom ...,True,CC
118,stalk... wait no... this is something different... -_- series unlmtd !merch,https://www.youtube.com/watch?v=Ag4omhFtwWE,"{'channel_name': 'bulanmaster_vods', 'channel_link': 'https://www.youtube.com/channel/UC9zwwcnIh71lM0R__FX0-nQ'}",114 views,1 day ago,1:09:15 ... game is black mask you just goes through another hole game is black mask wearing you just goes through another hole game ...,,New
119,Everything Wrong With Spider-Man: Into the Spider-Verse,https://www.youtube.com/watch?v=zz0vkGCvLsM,"{'channel_name': 'CinemaSins', 'channel_link': 'https://www.youtube.com/user/CinemaSins'}",7.6M views,3 years ago,"Spider-Man: Into the Spider-Verse came out of nowhere, kicked all our asses with awesomeness, and probably set off a wave of ...",True,
120,"""You're NOT Wearing the Costume!"" It's ALL OR NOTHING for Pressley (S8 Flashback) | Dance Moms",https://www.youtube.com/watch?v=GraHHf43eEI,"{'channel_name': 'Dance Moms', 'channel_link': 'https://www.youtube.com/c/dancemoms'}",579K views,10 months ago,"Pressley wants to prove that she deserves a solo at Nationals, but things don't go as planned when her mom switches her ""All Or ...",,
121,"They PRETENDED FOR SO LONG that they were HAPPY, REMOVING THE MASK is NOT easy, needing TO STAND UP!",https://www.youtube.com/watch?v=EuOblw9B0oM,"{'channel_name': 'Shasie Tarot', 'channel_link': 'https://www.youtube.com/c/ShasieTarot'}",1.3K views,2 days ago,"tarot #divinemasculine #love Divine Masculine Collective Reading They PRETENDED FOR SO LONG that they were HAPPY, ...",,New
122,"Unarmed man begs for life, shot by police",https://www.youtube.com/watch?v=7Ooa7wOKHhg,"{'channel_name': 'CNN', 'channel_link': 'https://www.youtube.com/user/CNN'}",5.1M views,4 years ago,Newly released bodycam footage shows former Mesa police officer Philip Brailsford shoot and kill unarmed Daniel Shaver at a ...,True,
123,Married to the Met | Get Ready for the Met Gala with Me,https://www.youtube.com/watch?v=iH8mWNKM8xU,"{'channel_name': 'Kylie Jenner', 'channel_link': 'https://www.youtube.com/c/kyliejenner'}",6M views,12 days ago,,True,
124,How To Wear Oculus Quest - *Hint* You're Doing It Wrong,https://www.youtube.com/watch?v=tgnu3AnIy0Q,"{'channel_name': 'BMFVR', 'channel_link': 'https://www.youtube.com/c/BMFVR'}",104K views,2 years ago,,True,
125,#Covid-19 Correct Way To Wear Face Mask - The Blue and White Side,https://www.youtube.com/watch?v=LvHyz3GJQ_I,"{'channel_name': 'el mustapha ben bihi', 'channel_link': 'https://www.youtube.com/c/elmustaphabenbihi'}",54K views,2 years ago,Covid-19 Correct Way To Wear Face Mask - The Blue and White Side If you're looking for anti coronavirus mask or asking where ...,,
126,Muse - WON'T STAND DOWN (Official Video),https://www.youtube.com/watch?v=d55ELY17CFM,"{'channel_name': 'Muse', 'channel_link': 'https://www.youtube.com/channel/UCGGhM6XCSJFQ6DTRffnKRIw'}",10M views,4 months ago,WON'T STAND DOWN WILL OF THE PEOPLE - The new album released 26th August 2022 Pre-order here: ...,True,
127,Watch: TODAY All Day - May 11,https://www.youtube.com/watch?v=9ZiqJc_potY,"{'channel_name': 'TODAY', 'channel_link': 'https://www.youtube.com/c/TODAY'}",21K views,Streamed 5 days ago,"Watch TODAY Show favorites, celebrity interviews, show exclusives, food, recipes, lifestyle tips and more on TODAY All Day, ...",True,New
128,How to wearface masks with glasses,https://www.youtube.com/watch?v=rqufK07rNQE,"{'channel_name': 'Optometry Today', 'channel_link': 'https://www.youtube.com/c/OptometryToday_AOP'}",35K views,1 year ago,,,
129,How To Style Vans (You’re Probably Buying The Wrong Ones...),https://www.youtube.com/watch?v=IFwDU0e1WnU,"{'channel_name': 'Fly With Johnny Thai', 'channel_link': 'https://www.youtube.com/c/FlyWithJohnnyThai'}",378K views,1 year ago,,True,
130,High speed camera captures how different types of face masks work,https://www.youtube.com/watch?v=DNeYfUTA11s,"{'channel_name': 'UNSW', 'channel_link': 'https://www.youtube.com/c/UNSWTV'}",1.6M views,1 year ago,,,
131,How to wear a face mask without your eyeglasses fogging up l GMA Digital,https://www.youtube.com/shorts/JtKww3Jj_Rc,"{'channel_name': 'Good Morning America', 'channel_link': 'https://www.youtube.com/c/GMA'}",385K views,2 years ago,,True,
132,LAST TO LEAVE THE POOL w/The Norris Nuts,https://www.youtube.com/watch?v=T3UTcx31W4s,"{'channel_name': 'The Norris Nuts', 'channel_link': 'https://www.youtube.com/c/TheNorrisNuts'}",5M views,3 months ago,*Comment on our Community Tab on the Channel Page MAKE CLOSED CAPTIONS (subtitles) in your language here ...,True,
133,part time went wrong. Face mask worn out. Car won't start.,https://www.youtube.com/watch?v=lj1r20fAcQ4,"{'channel_name': 'Madam Prez', 'channel_link': 'https://www.youtube.com/c/MadamPrez'}",411 views,1 year ago,,,
134,Should you wear a mask in the car? We asked a local doctor,https://www.youtube.com/watch?v=bou0vp3f7Y4,"{'channel_name': 'ABC Action News', 'channel_link': 'https://www.youtube.com/c/abcactionnews'}",10K views,2 years ago,Should you wear a mask in the car? We asked a local doctor.,True,
135,Something About Yoshi's Island ANIMATED (Loud Sound Warning) 🦎,https://www.youtube.com/watch?v=Dk8Qy7L5ZaI,"{'channel_name': 'TerminalMontage', 'channel_link': 'https://www.youtube.com/c/TerminalMontage'}",47M views,4 years ago,"It's been a while since I've played I think it goes like this. Subscribe for more! And if you like it, please consider sharing and ...",True,CC
136,Future - Worst Day (Official Music Video – Extended Version),https://www.youtube.com/watch?v=o8Y9GMhIZLQ,"{'channel_name': 'Future', 'channel_link': 'https://www.youtube.com/channel/UCSDvKdIQOwTfcyOimSi9oYA'}",11M views,3 months ago,"Future – Worst Day (Official Music Video – Extended Version) ""Worst Day"" available at: https://future.lnk.to/WorstDay Follow ...",True,
137,UK PM Boris Johnson faces calls to quit after lockdown party apology - BBC News,https://www.youtube.com/watch?v=EOtNsQDwWKw,"{'channel_name': 'BBC News', 'channel_link': 'https://www.youtube.com/c/BBCNews'}",598K views,4 months ago,"UK Prime Minister Boris Johnson has apologised for attending a ""bring your own booze"" party during the first coronavirus ...",True,
138,Raw Bodycam Video: 'Black Panther' director Ryan Coogler wrongly accused of attempting to rob bank,https://www.youtube.com/watch?v=g7yJN3-Q15o,"{'channel_name': '11Alive', 'channel_link': 'https://www.youtube.com/c/11Alive'}",1.8M views,2 months ago,WARNING: Portions of this video contain explicit language. The Atlanta Police Department released this bodycam video from the ...,True,CC
139,The Most Inappropriate Outfits Kate Middleton Has Worn,https://www.youtube.com/watch?v=nS3diY3evJ0,"{'channel_name': 'The List', 'channel_link': 'https://www.youtube.com/c/TheListDaily'}",1.6M views,1 year ago,,True,CC
140,The Extraordinary Case of Alex Lewis | Real Stories,https://www.youtube.com/watch?v=dMqeMcIO_9w,"{'channel_name': 'Real Stories', 'channel_link': 'https://www.youtube.com/c/RealStories'}",75M views,3 years ago,"The Extraordinary Case of Alex Lewis | Real Stories Alex Lewis, father of one, came down with a common cold in late 2013, which ...",True,4K
141,Inexpensive way to test face mask effectiveness in reducing COVID-19 transmission | Duke Health,https://www.youtube.com/watch?v=LeEBn4ttZZY,"{'channel_name': 'Duke Health', 'channel_link': 'https://www.youtube.com/c/DukeHealth'}",460K views,1 year ago,"Dr. Martin Fischer, Ph.D., from Duke University, developed a simple, low-cost technique to visualize the effectiveness of different ...",True,CC
142,ENTITLED CEO DEMANDS I WORK DURING MY MENTAL DISORDER EPISODE SO I TAKE MATTERS INTO MY OWN HANDS!!,https://www.youtube.com/watch?v=ZHYuBgJjkjc,"{'channel_name': 'Krown Tales', 'channel_link': 'https://www.youtube.com/c/KrownTales'}",631 views,6 hours ago,,,New
143,Introduction to the DreamWear Full Face CPAP Mask DirectHomeMedical,https://www.youtube.com/watch?v=BRgTBdNNlTU,"{'channel_name': 'DirectHomeMedical', 'channel_link': 'https://www.youtube.com/c/Directhomemedical'}",98K views,4 years ago,,,
